c5,remark
19730207014489A,DRG TURN TO AVOID BOAT AND WATER SKIER L WING TIP HIT WATER.FLOAT EQPD.
19730208002389A,
19730208002629A,MISSED VISUAL APCH TO ARPT UNDER RAVEC.BLOOD ALCOHOL 252MG .UNAUTH USE OF ACFT.
19730208002639A,RCVRD 2/9/73.
19730208003039A,GEAR HANDLE NOT IN THE DOWN DETENT.
19730208003459A,"PIPE LINE PATROL.NR 3 INTAKE VALVE FAILED.UNABLE TO CLR TREES DUE LOW ALT-400FT,AGL."
19730208004229A,"BECAME LOST,WAS ATMTG TO LND ON HIWAY.PLT STATED PSGR BECAME EXCITED AND PULLED CTL WHEEL BACK."
19730209001539A,
19730209003139A,"R TANK APRX HALF FULL,FUEL SEL BOTH PSN,NO FUEL IN SUMP."
19730209003249A,ARPT AVBL.
19730209003259A,"PAX GOT OUT,DIRECTED ACFT INTO RAMP AT NIGHT."
19730210001809A,"FULL FLAP LDG,ACFT STALLED ABT 10FT ABV RWY."
19730210001919A,WIND GUSTING 20K.
19730210001929A,
19730210001939A,FLT PHASE UNK.
19730210002259A,PILOT PRACTICING SPIRALS TO SIMULATED EMGCY LNDG
19730210002529A,"BRKN SHAFT,AIR DOOR ARM ASSY P/N50-970024-6.MATL NOT SPEC IN MFGR DRAWINGS.CRASH LNDD."
19730210002539A,CARB HEAT ON.
19730210002549A,
19730210002559A,HIT DIRT MOUND ABT 18IN HI.
19730210002649A,"FLT TOWARD RISING TERRAIN IN MTNS,UN TURN AROUND AFTR PWR LOSS.LNDD ON ROAD."
19730210002769A,"ATMTD LDG ON TRAILER,NOT ALIGNED,SKIDDED OFF.TAIL ROTOR HIT TRAILER PLT LOST DIR CTL."
19730210003049A,HIT PWR LINE 27FT 6IN AGL ABT 11MI NW OF STEVENS POINT
19730210003149A,OUTER CTL WHEEL SEVERED FROM TORQUE KNEE FITTING.AILERON CTL SYS INOP.ANNUAL INSP 5 HRS PRIOR.
19730210003929A,"FUEL PRES DROP TO ZERO PSI.PLT ELECTED TO LND ON HWY,WING CAUGHT SNOW BANK."
19730210004239A,"ALTERNATOR SWITCHES OFF,BATTERY DISCHARGED.PLT RTND ARPT LOWERED GEAR MANUALLY."
19730210004829A,BOUNCED AND DRIFTED OFF RWY INTO BUSHES.
19730210005799A,
19730210006149A,SUSTAINED GLIDE AT IDLE POWER AT LOW AMBIENT TEMP.ENG WOULD NOT RESPOND TO THROTTLE.LNDD IN TREES.
19730210007319A,HIT CHAIN LINK FENCE AND STEEL POST ABT 6FT SHORT OF RWY.
19730210014499A,WX BRIEF BY ATIS WIND RPTD 18K GUSTING 25K.WIND GUSTING 40K AT TIME OF ACDT.
19730211002129A,PLT PULLED ACFT OFF RWY-ACFT SNAPPED TO LEFT.
19730211002399A,COCKPIT GR INDICATOR SHOWED GR DOWN AND LOCKED WHEN GR WAS NOT FULLY EXTENDED.
19730211002899A,INSTR PLT USED MIXTURE CONTROL TO SIMULATE ENGINE FAILURE. ENG WOULD NOT RESTART-HIT TREES.
19730211003151A,FLT TO PARKERSBURG TERMINATED DUE LDG GR FAILED TO RETRACT.N5337Q WING SUB DMGD.
19730211003152A,ACFT HAD STOPPED TO PERMIT OTHER ACFT TO PASS.
19730211003469A,RCVRD 2/21/73. WX AT NEAREST REPORTING STATION INDICATED THAT THE ACDNT SITE WAS OBSCURED.
19730211004839A,PRACTICING STALLS.
19730212001819A,
19730212002139A,PIC PULLED MIXTURE CONTROL INSTEAD OF CARB HEAT
19730212002409A,WIND GUSTING 40K.
19730212002659A,"INTNTL T/D ABT 1000FT BFR END OF STRIP,UN STOP ON STRIP,LDG ABORTED.UN CLR 50FT POWERLINE."
19730212002909A,ACFT STRUCK WIRE THEN FLEW INTO POLES AND EXPLODED.
19730212003709A,MAIN ROTOR STRUCK TAIL BOOM ON TOUCHDOWN.
19730212004249A,"PLT NOT ADZD WX BY APCH CONTROL. WX BLO MINIMUMSHIT HILLSIDE,NO TRRN REF LITES, ABT 2MI E OF ARPT."
19730213002039A,HIT WASHING MACHINE TUB SUPPORTING RNW LITE.
19730213002419A,LARGE HELICOPTERS IN PATTERN.WIND CALM.
19730213002919A,"EMERG LANDING ON DIRT ROAD,HIT TREES."
19730214002429A,"LND DOWNSLOPE.PLT STATED WIND SHIFTED,GUSTS TO 18K."
19730214002669A,PLT ELECTED TO FLY INTO GND TO AVOID TREES AT END OF STRIP.
19730214003059A,UN FEA R ENG EXPD CTL PROBLEM.DRG INST APCH OTR ENG FAILED. CARB HEAT USED DRG FLT.
19730214005299A,LOSS OF CTL FOR UNDET REASON.TSTM IN AREA.PIECE OF BULLET FOUND IN PLTS HEART.
19730214008079A,MDA 1160FT.0946 SPCL WX.FLAPS FOUND IN UP PSN. PILOT-FAILED TO ARREST HIGH SINK RATE DRG LDG
19730215001829A,PILOT INADVERTENTLY SELECTED FUEL VALVE TO OFF.
19730215002439A,"HIT WIRES ABT 500 FT BFR RWY,CRASHED ON ARPT."
19730215002929A,
19730215002939A,
19730215004369A,OWNER INSTLD BRG BLOCK BACKWARDS ON GIMBLE HEAD.
19730215005609A,"LGT TO OCNL MDT MXD ICGICIP FCSTD,ACFT NOT DEICER EQPTD.R WING,ELEVS SEPD PRIOR TO IMPACT."
19730216002149A,GR PARTIALLY EXTENDED. GR WARNING HORN INOP.
19730216002449A,
19730216002949A,PIC FAILED TO OPERATE FLIGHT CONTROLS PROPERLY DURING DOWN WIND TAXI.WIND GUSTING 20K.
19730216003479A,"UN STOP ON RWY,HIT WOODEN PLATFORM."
19730216009349A,AFT WING ASSEMBLY & GR ATTACH POINT FLT TEST.NOSE GR COLLAPSED.STALLED ACFT ABT 10FT OVR RWY.
19730217001949A,
19730217002679A,
19730217002779A,LNDG GEAR WARNING HORN OPERATING INTERMITTENTLY.PLT FLEW 7HRS.
19730217003069A,LNDD IN SLIGHT CRAB NOSE WHEEL FIRST.
19730217003079A,ACFT TOUCHED HALFWAY DOWN RNWY.SKIDDED.OVERRAN RNWY.HIT SNOW BANK AND OVERTURNED
19730217003169A,"PAX SWITCHING SEATS,ENG NOT SHUT DOWN.DARK NITE."
19730217003269A,BECAME AIRBORNE UNEXPECTEDLY WHILE TAXIING FAST TO AVOID GETTING STUCK ON RWY.LNDG GEAR MUD PACKED
19730217003279A,PLT USE CARB HEAT ON TKOF.LNDD IN PLOWED FLD.
19730217003489A,ACFT FOUND & PLT RCVRD FEB 19.PLT ATTEMPTED FORCED LNDG IN ONLY SPACE AVBL.NO FERRY PERMIT.
19730217003499A,NR 1 CYL EXH VALVE.
19730217003619A,"ENG LOST PWR,UN MAINTAIN ALT PLT LNDD ACFT STRAIGHT AHEAD.L WING TIP HIT TREE."
19730217004459A,
19730217005079A,PLT DECLARED ICING PROB.WAS RET TO PORTLAND.BOTH OUTBD WGS AND HORIZ STABS SEP.LACKED INST RECENCY
19730217005469A,"R LDG GR STRUT SEPARATED DUE LOSS NUT,BOLT.AD 67-20-4,70-18-5 CVRS,NOT C/W.WRONG NUTS AN365 USED."
19730217005999A,"PLT ADDED PWR TO CON TAXI,ACFT MOVED FWD,TURNED L,SLID INTO SNOWBANK."
19730218002459A,
19730218002689A,AVOIDING 30FT STANDPIPES AFTR TKOF FRM FIELD.
19730218003089A,MCCULLOCH ENG.NO FLT INSTR ENDORCEMENT FOR SOLO FLT.
19730218003179A,"L CROSSWIND CORRECTION-T/D ON MAIN WHEELS,NOSE WHEEL MADE CONTACT WITH RWY-COLLAPSED."
19730218003509A,"DRG ATMPT TO SLOW ACFT,FLAPS RAISED,BRAKES APPLIED.DID NOT RETARD THROTTLE."
19730218003519A,NOSE GR MAIN DRIVE ASSEMBLY P/N 0842120-1 FOUND BENT AND CRACKED.
19730218003719A,DEER RAN ON RWY.
19730218003729A,75FT HIGH WIRE OBSTRUCTION 900FT DIST FROM RNWY END
19730218003839A,GAVE WAY TO AIR CARRIER.WENT OFF TAXIWAY ON GRASS.TAXIED INTO CEMENT DRAIN CULVERT
19730218003939A,TOW ROPE BROKE. HAD TO AVOID TELEPHONE POLES.
19730218004079A,LNDD IN PEACH ORCHARD.
19730218004089A,LNDD ON ABANDONED AIR STRIP.
19730218004849A,"L LDG GR SEPARATED.L WING TIP,GR DMGD DRG LDG. MISC-INFLT COLLISION WITH UNKN OBJECT."
19730218004859A,"CARB REMOVED DISASSEMBLED,LARGE QUANTITY OF WATER FOUND IN PUMP AND SURROUNDING AREA."
19730218005089A,
19730218005479A,"PLT PLANNED TOUCH AND GO LDGS TO FREE WHEELS OF MUD.CK RWY FOR MUD HOLES,HIT PWRLINES."
19730219002959A,
19730219002969A,PREVIOUSLY BENT NOSE GEAR ACTUATOR ROD PREVENTED EXTENSION AND DOWN LOCK OF NOSE GEAR.
19730219003099A,OUT OF AFT CG.
19730219003189A,"8-12 INCHES CRUSTED SNOW,WHEELS DUG IN."
19730219003199A,DURING TAXI THE LEFT SKI WENT UNDER CRUSTED SNW ACFT NOSED OVER.
19730219003289A,FSS TOLD PLT VFR FLT NOT RECOMMENDED.
19730219003299A,"PYLON SUPPORT LINK FAILED IN FATIGUE,CAUSING COMPLETE FAILURE OF MAIN ROTOR/TRANSMISSION ASSY."
19730219003309A,ZERO DEG TEMP OVRNITE.NO OIL TEMP INDCTN UNTIL AFTR TKOF.OVERFLEW ARPT.SAE 50 OIL.NO COLD WX KIT.
19730219003529A,REAR STICK SECURED BY REAR SEAT BELT.PLT DID NOT CHECK CONTROLS PRIOR TO TAKE OFF.
19730219003539A,"CRANKSHAFT FAILED,PROP & NR 1 CYL SEPARATED."
19730219003949A,DUE LOW CEILING AND VIS PLT DECIDED TO GET ACFT ON GND-TERRACED FLD.FSS ADVSD VFR FLT NOT REC.
19730219005489A,"NR1 CYL NOZZLE CORE,L ENG,PARTIALLY BLOCKED,DCRNG FUEL FLOW 18LBS/HR.OBSVRD SPINNING FRM OVC."
19730219006009A,"BRAKE PUCK ANGLE WEAR CAUSED PISTON TO COCK,FLUID BYPASSED O RING.ANN INSP 2/16/73.N74309 SUB DMG."
19730220003549A,TAXYING UNDER GROUND CONTROL.OBSTRUCTION UNMARKED AND UNLIT.PILOT NOT ADVISED.
19730220003739A,ACFT VEERED OFF RNWY STRIKING WIND INDICATOR TEE.GUSTING TO 20K.
19730220004259A,"ACFT BOUNCED T/D IN FLAT ATTITUDE NOSE GR STRUT BENT AFT,RUPTURED FUEL STRAINER BOWL."
19730220004379A,MOUNTAINS OBSCURED SOUTH.LOWERING CEILING.RCVRD 2/24/73.
19730220005309A,"FLEW INTO TREES ON OBSCURED MTN.WEA BRIEFED 7 HRS BFOR DEP,DIDNT UPDATE WEA.RECOVERY DATE 7/30/73."
19730220006469A,"ARPT CONST REQD T/O WITH L CROSSWIND,GUSTING 17K"
19730220006471A,"COMPLETED ENG RUNUP,DRG TAXI HIT BEECH N8932U WHICH HAD STOPPED AFTR LDG AND CLEARED THE RWY."
19730220006472A,BEECH N8932U STOPPED ON TAXIWAY AFTR CLRG RWY.CESSNA TAXIED THRU R WING AND PROP ARC OF BEECH.
19730220021429A,"DRG LDG ACFT DRIFTED TO R SIDE OF RWY,T/D MADE IN SNOW 3-4IN DEEP."
19730221002159A,"SEARCH FOR ESCAPED CONVICT.RAPID TKOF,ABT 450FT,UN CLR TREES APRX 50FT HI."
19730221003109A,FORCED TO LAND DOWN WIND AND DOWN SLOPE.BROKEN TIMING GEAR.
19730221003319A,HIT MTN AT NIGHT.RCVRD 2/22/73.
19730221003329A,MDT OR GTR TURBC FCSTD BLO 12000FT.THROWOVER YOKE R SEAT.
19730221003629A,"ACFT PORPOISED DRG LDG,NOSE GR COLLAPSED."
19730221003639A,OBSTACLES OF MOUNTAINS AND CLIFF AT APCH TO SHORT FIELD LNDG BOTHERED LOWTIME PLT.
19730221003749A,"LANDED LONG,HIT LOC ANTENNAE AND ILS BLDG.DID NOT STOW SPOILERS ON GO AROUND."
19730221003959A,RECOVERED ON MTN SLOPE 2/22/73. OBS STATED MTNS WERE OBSCURED.
19730221007039A,"BOTH BLADES,PLTS WINDOW SEPD DRG HI-SPEED SPIN FRM 13,500FT(NO OXYGEN).RCVRD 2/22/73."
19730221011499A,NOSE OF ACFT LIFTED VERY FAST R WING HIT RWY. FLT CONTROLS-AERODYNAMIC LOSS OF ELEVATOR CONTROL
19730221014239A,"BKN LINK RODS IN NR 1,2 AND 9 CYL.PLT LNDD ACFT IN TREES."
19730221033579A,
19730222002469A,LANDED WITH ACFT LIGHTS OFF.RUNWAY LIGHTED.
19730222002789A,
19730222003369A,ALT TOO LOW FOR RECOVERY.HUNTING COYOTES.
19730222003379A,
19730222003559A,"RECOVERED IN SWAMP 2/26/73.R PYLON SUPPORT LINK FAILED,CAUSED IN FLT FAILURE OF M/R SYSTEM."
19730222003759A,"AILERON CARRY-THRU CABLE,CESSNA PN 1660300-11 FAILED. 640 HRS SINCE INSTALLATION."
19730222003969A,
19730222003979A,"OBSVD DUMP WATER,CLB,STOP DUMPING.SAME SEQUENCE REPEATED,THEN DUMP LOAD,CLIMB ABRUPTLY-NOSED DWN."
19730222003989A,
19730222004099A,
19730222004269A,ACFT OBS CIRCLING OVER TOWN AT LOW ALT. PLT BLOOD ALCOHOL LEVEL 120 MG PCT.HIT 2 SMALL BLDGS.
19730222004469A,VEERED L AND HIT FENCE.
19730222006309A,"ATMTD VFR APCH.NDB UNMONTRD.READ BACK ALSTG AS ALT CLNC,NOT COR BY ATC.HIT MTN 2800FT LVL."
19730222010539A,"PLT CLRD TO LND RWY 7R,LINED UP WITH 7L.B-727 MADE APCH TO 7L PRIOR.TWR DIDNT WARN PLT ABOUT B-727"
19730222015659A,"ENG QUIT UN RESTART. LND ON FREEWAY,BOUNCED OFF AVOIDING TRUCK."
19730223003389A,ACFT L OF CENTER LINE ENTERED FRESH PLOWED SNOW ABT 4IN DEEP ON RWY.HIT SNOW BANK AFTR 1/2 MI ROLL
19730223003769A,"ACFT FLOWN 2.45HRS BFR THIS FLT,NOT REFUELED BFR DEPARTURE."
19730223003999A,FUEL PUMP FAILED TO SUPPLY FUEL FROM WING TANK TO NOSE HEADER TANK.LNDD ON SOFT FLD.
19730223004109A,"ACFT T/D,BOUNCED TWICE GR COLLAPSED ON THIRD T/D."
19730223004709A,"AFTR T/D PLT BEGAN TO RAISE FLAPS,ACFT VEERED SHARPLY L,HIT SNOW BANK."
19730223005091A,"HOWARD LND RWY 23.PLT WAS WATCHING TRACTOR ON GLIDER RWY,DIDNT SEE PIPER TAXYING ON RWY 11."
19730223005092A,PIPER LND WITH R QUARTERING TAIL WIND.OBS TRACTOR AT OTR END OF RWY.DIDNT SEE HOWARD ON ROLL OUT.
19730223005809A,HIGH PITCH ATTITUDE OF ACFT ON SHORT FIELD TKOF KEPT PLT FM SEEING WATER TWR.
19730223008329A,PLT NOT CURRENT IN ACFT.GND LOOPED DURG PRACTICE LNDG.WIND CALM.LEFT WING STRUCK GND.
19730223011509A,LOW ALT PHOTO FLT OF OTR ACFT.PLT ATTN DIVERTED TO OTR ACFT.DRG R TURN WING HIT WATER.
19730223020519A,
19730224002979A,HUNTING COYOTES.
19730224003649A,ACFT HIT GND IN NOSE DWN L WING LOW ATTITUDE.WIND GUSTING 15K.
19730224003779A,"WIND CONDS LT VAR-ON DAY OF FLT,PLT FLEW 9HRS BFR ACDT."
19730224003789A,"TKOF,ACFT IN R TURN,ATMPTD STOP TURN STEEP NOSE DWN DSCNT OCRD.HIT PARKED ACFT N90993-SUB DMG."
19730224003849A,SWIVEL STOP BROKEN.
19730224004009A,"SPRAYING ONIONS.ENCTRD HI SINK RATE AFTR PROCEDURE TURN-AROUND,HIT POST,CONT FLT 2000FT,HIT GND."
19730224004389A,"NOSE WHEEL SANK INTO SOFT SPOT IN TURF RWY.FLD RPTD SOFT,WET BUT SAFE TO USE."
19730224004399A,DESCENDED OUT OF CTL DURG L TURN.
19730224004719A,"OVERLOAD FAILURE OF L REAR LIFT STRUT,RESULT OF IMPROPER FABRICATION."
19730224004869A,ACFT LNDD WO DIFFICULTY. DURG TKOF ACFT STRUCK HIDDEN SNOW RIDGE 1000 FT FROM END OF RWY.
19730224005109A,STUDENT PILOT'S FIRST FLT PRACTICING LNDGS IN CONVENTIONAL GR ACFT.INADVERTENTLY HIT L HEEL BRAKE.
19730224005319A,"TRIED TO OUTCLIMB MTNS.NEAR MAX GROSS WT,DENSITY ALT 10200 FT,IN DOWNDRAFT.SETTLED IN TREES."
19730224005929A,STRUCK RUNWAY BOUNDARY MARKER.
19730224006319A,"PLT EXPD STRONG CROSS WIND AFTR T/D,ACFT LIFTED PLT INITIATED GOARND DID NOT CLR TREES."
19730224008609A,"ACFT BOUNCED,VEERED R.PLT OVER CORRECTED."
19730224014249A,YOUNG BOY SAW ACFT IN SPIN. HIT GRND DURING RECOVERY ATTEMPT. RECOVERY DATE 2/25/73.
19730225002569A,GAS TRUCK BACKED INTO ACFT.
19730225002699A,
19730225003399A,FLEW INTO HILLSIDE DURING ATTEMPTED TURN AROUND SHORTLY AFTER TKOF.
19730225003659A,"DURING TAXI,R WING OF ACFT HIT TRUCK."
19730225003859A,"ENCTRD WIND GUST DRG TKOF,AIRBORNE PREMATURELY,ACFT DRIFTED L HIT TREE."
19730225004279A,
19730225004409A,
19730225004479A,
19730225004489A,WAS CHECKING RD PRIOR TO LNDG.HIT WIRES.
19730225004499A,
19730225008619A,NR 3 CONROD FAILED. LND ON NARROW ROAD & HIT BRIDGE.
19730226004119A,
19730226005329A,INV. UNDER THE JURISDICTION OF THE GOVT. OF MEX.
19730226007849A,"LOST ENG THRUST DUE COWBIRD INGESTION.FAA & ARPT AUTHORITY AWARE OF BIRD HAZARD,NOT REMOVED."
19730227002579A,
19730227002709A,"FINAL APCH-ENCTRD DWNDFT,HIT SNOWBANK ON RWY THRESHOLD."
19730227002989A,R AILERON AND R WING TIP OF CESSNA N5971F DMGD.RAMP ATTENDANT DIRECTING ACFT.
19730227003339A,
19730227003669A,
19730227004289A,
19730227004509A,WX DIDNT INDICATE LOW STRATUS CLOUD AND FOG.
19730227005499A,PLT NOT FAMILIAR WITH GUSTY X-WIND PROC. GUSTING TO 20K.
19730228003349A,APRX 7IN PROP BLADE TIP MISSING.DRG APCH HIT TRAFFIC LIGHT CABLE ACFT SWERVED L WING HIT AUTO.
19730228003359A,"NO FLAP LANDING,NOSE WHEEL T/D AFTER MAIN GEAR AT A SPEED OF 85 MPH."
19730228003799A,"LNDD ON PLOWED FLD,FIREWALL DMGD IN AREA OF NOSE WHEEL ATTACHMENT."
19730228003809A,PLT POSITIONED FUEL SELECTOR TO EMPTY TANK.NO FLT HRS RECORDED LAST 90 DAYS.
19730228003869A,"NR 3 CONNECTING ROD CAP,NUTS AND BOLTS NOT FOUND.STALL TYPE LDG MADE INTO TREES."
19730228004129A,SIM ENG FAIL APRX 200FT AGL.DRG TURN BACK TO ARPT ACFT ENTRD ACCELLERATED STALL COND.
19730228004139A,"DSCNDD BLO DH,HIT TREES BTWN OMK AND ARPT."
19730228004299A,"FNT MAIN BRNG SCORED,BRNG MATERIAL ON CRANKSHAFT.HVY DEP GRAY CLAY SUBSTANCE.HIT SAND DUNES."
19730228004419A,ACFT STRUCK RWY NOSE WHEEL FIRST.
19730228004519A,TAXIED BEHIND LARGE PROP ACFT.CLRD TO TAXI BY CTL TWR.
19730228008339A,"MANEUVERING BLO LOW CLGS,SET UP LDG.ENG LOST PWR AND PLT LND NEAR BEACH. FLOATS HIT ROCKS AT SHORE"
19730301003679A,"R LDG GR ATTACH BOLT BENT,THREADS ON NUT-BOLT STRIPPED.OVERTORQUED OR UNDER CAUSED PREMATURE WEAR."
19730301003879A,INADVERTENT FLAP RETRACTION BY STUDENT DURG LEVEL OFF.
19730301004149A,1.3HRS DUAL ON 2/27/73.
19730301004309A,
19730301004939A,WRINKLE IN RUBBER FUEL CELL HELD SENDER UNIT FLOAT IN HIGHEST PSN.PLT AWARE OF INOP GAUGE.HIT TREE
19730301004949A,"PIC CANCLED IFR FLIGHT PLAN PROCEDED VFR.ATMTD LOW ALT FLT OVR MTNS TRRN,ENCTRD DWNDFT UN CK DSCNT"
19730301005119A,"PILOT DIVERTED ATTENTION TO CAR ON ROAD,EXTDD GLIDE,STARTED HIGH SINK RATE,STRUCK CAR."
19730301005339A,"ENCOUNTERED STRONG DOWNDRAFT,CAUSED DESCENT INTO CLOUDS. FLEW INTO MTN SLOPE. RECOVERED 3/2/73."
19730301009549A,WHEEL EQPD.MIXT CTL CONDUIT LOOSE AT CARB.TELEX LOCK NUT P/N A6338 BKN CONDUIT P/N 514-303482 RLSD
19730302004529A,"ACFT OBSRVD ENTERING,CONTINUING SPIN TO IMPACT.FLT PHASE UNK."
19730302004539A,ONE ENG COOLING FAN BELT BROKE.ENGINE EQUIPED WITH TWO. NO NEED TO AUTOROTATE.
19730302004729A,"R/STOL MODIFICATION-DPTD RENTON WASH APRX 0600PST.DSCNDD BLO DH,HIT TREES."
19730302006329A,"OVERSHOT TURN TO FINAL. BOTH TIP TANKS HIT RWY,THEN NOSE GR."
19730302006489A,
19730302010709A,IMPAIRED FOR UNDET REASON.ACFT CLIMBING AND DIVING AT STEEP ANGLE.
19730302011519A,"PLT DIDNT SEE LTD WIND SOCK,LND DOWNWIND.RAN INTO OCEAN.INVEST & REPTD BY GOVT OF BAHAMAS."
19730303002589A,
19730303002999A,"PIC REAR SEAT,BOTH PLTS ON CTLS."
19730303004429A,PORPOISED NOSE GR FAILED BENT PROP BLADE TIPS.
19730303004959A,ENG CUT OUT ON APCH.LND FAST & PORPOISED.ENG RAN NORMALLY SO MADE GO AROUND.ENG QUIT ON BASE.
19730303008349A,NO EVIDENCE OF MECHANICAL MALFUNCTION.ACFT HIT GND IN A NEAR 45DEG NOSE DWN ATTITUDE.
19730303010549A,"STUDENT PLT NOT ENDORSED FOR SOLO FLT IN THIS MAKE,MODEL ACFT.ENDORSED SOLO CESSNA 150 ACFT."
19730303010719A,INVESTIGATION UNDER JURISDICTION OF GOVERNMENT OF MEXICO.
19730303012989A,COLLIDED W GARAGE AND FENCE EVADING COLL WITH AUTOS AND HOUSES.
19730304003819A,INSUFFICIENT FUEL FOR FLT.
19730304004019A,"2ND APCH,BOUNCED LDG,ACFT VEERED L,PLT INITIATED GOARND-DSCNDD ONTO MUDDY EARTH."
19730304004029A,SCREW MISSING ON FUEL VALVE PLACARD ALLOWING IMPROPER FUEL VALVE POSITION INDICATION.
19730304004039A,TKOF L TANK LOST PWR SWITCHED TO R TANK ENG DID NOT RESTART.ABT 1/2GAL FUEL DRAINED FROM L TANK.
19730304004159A,OIL DRAIN PLUG NOT SAFTIED AFTER OIL CHANGE.OIL DRAIN PLUG WORKED LOOSE-OIL EXHAUSTED.
19730304004549A,"PRIOR LDG ON ROAD,ROUGH ENG.PLT CKD ENG THEN TOOK OFF,ENG QUIT.HIT ROAD BANK WITH WG & CARTWHEELED"
19730304006159A,ACFT VEERED OFF RWY INTO SOFT DIRT.
19730304013759A,RETRACTABLE SKI-WHEEL EQUIPPED.JUMPED SNOWBANK LOST CTL.
19730304040129A,RETURNING TO ARPT DUE HAZY WX.INVESTIGATION JURISDICTION COLOMBIAN GOVT.
19730305004169A,"DRG CLB OUT ACFT SETTLED,PLT DID NOT LWR NOSE DUE LOW ALT.T/D OCRD WITH FULL PWR,DNWND."
19730305004559A,SPRAYING BARLEY. CRASH LNDD.
19730305004739A,NO EVIDENCE OF BRAKE MALFUNCTION.3 SKID MARKS ON RWY ABT 300FT IN LENGTH PRIOR TO END OF RWY.
19730305005619A,RAN OUT OF FUEL.CRASHED ON MTN RIDGE.
19730306003569A,HIT SOFT MUDHOLE OFF RWY.
19730306003889A,"R WING AND PROP STRUCK ERCOUPE,IDENT NOT RPTD,CAUSING SUBSTANTIAL DAMAGE."
19730306004569A,WHEEL EQPD.APCH TO ARPT BTWN TREES.R WING HIT TREE ABT 2FT INBOARD R WING TIP.
19730306004749A,"ON LOCALIZER APR,FAILED TO MAINTAIN MDA.POS OF NON INST RTD PILOT AT CNTRLS."
19730306004809A,WIND GUSTING 26K.HIT DITCH NOSED OVR.
19730306004879A,LDG GR PUSH-PULL RODS P/N 0840125-6 AND 0841130-2 BOWED.L GR WOULD NOT LOCK DWN.
19730306007679A,WIND GUSTING 15K.
19730306010169A,VOLTAGE REG INOP.EMGCY GR EXTN BY TURNING VALVE ALLOW GR FREE FALL TO LOCK.JUMPER USED ENG START.
19730307004579A,STUDENT PILOT WAS ON NON SUPERVISED TRAINING FLT
19730307004589A,"RIGHT BRAKE LOCKED DURG LANDING ROLL. OIL FOUND ON BRAKE LINING.PRACTICE SWATH RUNS,TANK EMPTY."
19730307004759A,"ONE SIDE OF LOCKING ARM OF R FUEL CAP BKN OFF,RUST IN BREAK.RED FUEL STAINS ON WING AND FUSELAGE."
19730307005629A,BOTH FUEL TANKS DRY.
19730307005819A,HIT RWY MARKER.
19730307006169A,CRANKSHAFT FAILED AT NR 2 JOURNAL.DITCHED 150 YDS OFF SHORE.
19730307006499A,CRASHED DRG VOR APCH IN MOUNTAINOUS TERRAIN.
19730307007049A,
19730307007059A,"DIVERTED ATTN TO OTR ACFT IN PATTERN,EXTDD DNWND LEG,FORGOT GR-WARN HORN INOP."
19730307007859A,LOST CTL 2 MI FROM OMK AT TOO LOW ALT TO RECOVER.NO ACFT MALFUNCTION FOUND.
19730307014259A,INVESTIGATION UNDER JURISDICTION OF THE GOV OF THE BAHAMAS.
19730308004179A,"ENCTRD GND FOG ABT 10FT ABV RWY,CONT APCH LNDD.LOST VISUAL CUES ATMTD GOARND.HIT DIRT BANK."
19730308004599A,PLT AWARE OF DISPLACED RWY THRESHOLD AND 50FT HI TREES.
19730308004609A,WIND GUSTING 35K.
19730308004889A,"VIBRATION DUE FLAT TIRE,LT MLG KNEE JOINT TRVL OVCNTR,OVERLOAD FORCE APPLIED TO RETRACT ROD."
19730308004969A,INDUCED DETONATION AND SUBQ CONNECTING ROD FAILURE BY NOT FOLLOWING MFG ENG LEANING PROCEDURE.
19730308005129A,LND IN KNOWN ADVERSE RWY COND. RAN OFF RWY INTO MUD.
19730308007069A,LOST CTL IN TURN OVER UNLTD PARK IN TSTM.
19730308008629A,LNDD ON A RECENTLY PLOWED FLD DUE ENROUTE WEA.
19730308012999A,"HIT HILL,GR COLLAPSED.AUTOMATIC FLAGMAN IN WING MALFUNCTIONED."
19730309004619A,"BOUNCED LDG,LOST CTL."
19730309004629A,RCVRD 3/10/73.
19730309004769A,HIT GND BLO LVL OF RWY.
19730309004979A,PILOT STATED HE FAILED TO WATCH ALTITUDE AND ALLOWED ACFT TO LOSE ALTITUDE WHILE LOOKING FOR ARPT.
19730309008359A,
19730309022389A,"DMG,INJ PRESUMED.PERSONAL EFFECTS FOUND AND IDENTIFIED.WRECKAGE PARTS FOUND,NO POS IDENTIFICATION."
19730310004779A,L MAIN GR AFT WEB-FALSE SPAR OTBD RIVETS 67079-00 BKN LOOSE.PIPER BUL 369 CVRS.NOT C/W THIS ACFT.
19730310004899A,WIND GUSTING 51K.
19730310004989A,INVESTIGATION UNDER THE JURISDICTION OF THE GOVT OF MEXICO.
19730310005349A,"AIM NOTED-LAND ONLY FROM EAST TO WEST.WIND 60DEG 12K,R QUARTERING TAILWIND."
19730310006449A,"PLT ATTN DIVERTED TO INSTRUMENTS DRG ENG RUN-UP,WAS NOT AWARE OF ACFT MOVEMENT."
19730310007479A,LDG GR HANDLE P/N560011-000 BROKE ABT 2IN ABV RETRACT RODS ATTACH AREA.
19730310009559A,"PAX,A PRIVATE PLT,FOLLOWED THRU ON CTLS AND HANDLED THROTTLE FROM L SEAT."
